"product","province","period","price1","price2","price3","year"
"A","10",2018-01-01,59.76,54.09,59.18,2018-01-01
"B","10",2018-01-01,54.02,52.66,50.21,2018-01-01
"C","10",2018-01-01,63.84,60.54,NA,2018-01-01
"D","10",2018-01-01,57.99,62.11,61.49,2018-01-01
"E","10",2018-01-01,89.2,83.51,85.79,2018-01-01
"F","10",2018-01-01,74.55,81.26,78.19,2018-01-01
"G","10",2018-01-01,81.76,86.16,83.3,2018-01-01
"H","10",2018-01-01,68.09,67.65,63.62,2018-01-01
"J","10",2018-01-01,82.74,87.73,77.19,2018-01-01
"A","11",2018-01-01,51.76,59.91,51.67,2018-01-01
"B","11",2018-01-01,46.32,42.37,50.58,2018-01-01
"C","11",2018-01-01,77.51,74.23,NA,2018-01-01
"D","11",2018-01-01,55.89,52.73,62.79,2018-01-01
"E","11",2018-01-01,83.92,76.66,80.53,2018-01-01
"F","11",2018-01-01,83.66,90.55,80.77,2018-01-01
"G","11",2018-01-01,84.28,89.33,92.9,2018-01-01
"H","11",2018-01-01,77.17,74.19,85.48,2018-01-01
"J","11",2018-01-01,103.58,109.27,101.53,2018-01-01
"A","12",2018-01-01,57.91,49.37,61.76,2018-01-01
"B","12",2018-01-01,50.47,48.3,42.4,2018-01-01
"C","12",2018-01-01,47.22,50.66,NA,2018-01-01
"D","12",2018-01-01,66.06,71.19,68.9,2018-01-01
"E","12",2018-01-01,54.81,58.91,56.44,2018-01-01
"F","12",2018-01-01,106.02,106.75,107.52,2018-01-01
"G","12",2018-01-01,84.17,87.79,90.17,2018-01-01
"H","12",2018-01-01,77.72,76.55,80.4,2018-01-01
"J","12",2018-01-01,127.79,124.07,121.81,2018-01-01
"A","13",2018-01-01,51.07,56.23,44.82,2018-01-01
"B","13",2018-01-01,71.54,65.75,70.13,2018-01-01
"C","13",2018-01-01,60.21,61.39,NA,2018-01-01
"D","13",2018-01-01,60.93,57.79,67.06,2018-01-01
"E","13",2018-01-01,76.11,82.48,77.87,2018-01-01
"F","13",2018-01-01,60.84,64.47,60.96,2018-01-01
"G","13",2018-01-01,77.01,83.74,74.08,2018-01-01
"H","13",2018-01-01,86.21,88.71,81.91,2018-01-01
"J","13",2018-01-01,94.99,97.04,99.83,2018-01-01
"A","24",2018-01-01,57.48,49.24,55.7,2018-01-01
"B","24",2018-01-01,55.79,63.99,64.27,2018-01-01
"C","24",2018-01-01,58.68,65.56,64.06,2018-01-01
"D","24",2018-01-01,75.78,76.14,73.8,2018-01-01
"E","24",2018-01-01,76.41,78.06,75.21,2018-01-01
"F","24",2018-01-01,62.9,67.68,55.63,2018-01-01
"G","24",2018-01-01,86.34,92.44,93.77,2018-01-01
"H","24",2018-01-01,88.91,93.83,94.41,2018-01-01
"J","24",2018-01-01,94.37,96.09,94.51,2018-01-01
"A","35",2018-01-01,33.34,29.71,30.3,2018-01-01
"B","35",2018-01-01,65.71,65.26,63.09,2018-01-01
"C","35",2018-01-01,58.33,62.53,66.47,2018-01-01
"D","35",2018-01-01,56.31,62.47,50.03,2018-01-01
"E","35",2018-01-01,69.6,69.05,69.67,2018-01-01
"F","35",2018-01-01,64.47,59.92,69.56,2018-01-01
"G","35",2018-01-01,92.07,99.68,100.02,2018-01-01
"H","35",2018-01-01,88.15,81.21,86.67,2018-01-01
"J","35",2018-01-01,111.78,110.66,115.29,2018-01-01
"A","46",2018-01-01,55.55,61.41,62.23,2018-01-01
"B","46",2018-01-01,55.23,53.21,63.82,2018-01-01
"C","46",2018-01-01,53.07,52.77,49.58,2018-01-01
"D","46",2018-01-01,61.71,53.36,66.34,2018-01-01
"E","46",2018-01-01,63.12,55.93,62.45,2018-01-01
"F","46",2018-01-01,76.46,78.99,77.79,2018-01-01
"G","46",2018-01-01,78.86,78.41,74.12,2018-01-01
"H","46",2018-01-01,75.84,83.07,71.96,2018-01-01
"J","46",2018-01-01,105.89,105.13,98.08,2018-01-01
"A","47",2018-01-01,46.86,55.54,42.29,2018-01-01
"B","47",2018-01-01,43.41,42.99,46.98,2018-01-01
"C","47",2018-01-01,65.57,66.01,61.57,2018-01-01
"D","47",2018-01-01,68.43,61.38,68.4,2018-01-01
"E","47",2018-01-01,84.53,91.61,77.18,2018-01-01
"F","47",2018-01-01,64.59,64.86,60.66,2018-01-01
"G","47",2018-01-01,69.28,75.38,75.73,2018-01-01
"H","47",2018-01-01,79.32,82.21,82.99,2018-01-01
"J","47",2018-01-01,84.75,91.49,79.21,2018-01-01
"A","48",2018-01-01,50.57,47.16,55.01,2018-01-01
"B","48",2018-01-01,58.02,53.21,64.16,2018-01-01
"C","48",2018-01-01,72.01,69.33,73.12,2018-01-01
"D","48",2018-01-01,48.55,49.98,52.27,2018-01-01
"E","48",2018-01-01,65.05,68.27,70.12,2018-01-01
"F","48",2018-01-01,86.7,90.16,88.32,2018-01-01
"G","48",2018-01-01,79.93,85.92,83.59,2018-01-01
"H","48",2018-01-01,107.04,103.59,112.69,2018-01-01
"J","48",2018-01-01,100.41,104.51,101.08,2018-01-01
"A","59",2018-01-01,49.85,49.6,56.89,2018-01-01
"B","59",2018-01-01,46.28,37.68,39.26,2018-01-01
"C","59",2018-01-01,64.26,70.02,72.87,2018-01-01
"D","59",2018-01-01,75.43,68.08,NA,2018-01-01
"E","59",2018-01-01,81.34,78.06,87.29,2018-01-01
"F","59",2018-01-01,76.1,69.63,NA,2018-01-01
"G","59",2018-01-01,81.29,78.24,88.61,2018-01-01
"H","59",2018-01-01,87.55,96.19,85.6,2018-01-01
"J","59",2018-01-01,101.26,108.34,97.71,2018-01-01
"A","10",2018-02-01,59.99,53.94,52.87,2018-01-01
"B","10",2018-02-01,58.32,65.42,62.38,2018-01-01
"C","10",2018-02-01,73.19,71.22,NA,2018-01-01
"D","10",2018-02-01,65.19,69.08,69.95,2018-01-01
"E","10",2018-02-01,84.63,76.38,85.16,2018-01-01
"F","10",2018-02-01,83.62,76.92,80.65,2018-01-01
"G","10",2018-02-01,80.96,81.43,75.6,2018-01-01
"H","10",2018-02-01,79.95,80.25,79.07,2018-01-01
"J","10",2018-02-01,72.59,76.13,76.04,2018-01-01
"A","11",2018-02-01,59.43,65.55,55.51,2018-01-01
"B","11",2018-02-01,48.6,44.98,43.11,2018-01-01
"C","11",2018-02-01,69.44,62.95,NA,2018-01-01
"D","11",2018-02-01,56.59,65.35,60.87,2018-01-01
"E","11",2018-02-01,100.07,101.62,93.59,2018-01-01
"F","11",2018-02-01,99.14,96.21,97.01,2018-01-01
"G","11",2018-02-01,81.09,83.13,77.56,2018-01-01
"H","11",2018-02-01,81.76,90.02,85.51,2018-01-01
"J","11",2018-02-01,121.56,114.72,116.14,2018-01-01
"A","12",2018-02-01,50.85,49.17,48.24,2018-01-01
"B","12",2018-02-01,58.1,61.24,55.64,2018-01-01
"C","12",2018-02-01,47.98,51.41,NA,2018-01-01
"D","12",2018-02-01,64.62,64.18,59.77,2018-01-01
"E","12",2018-02-01,63.85,69.56,67.4,2018-01-01
"F","12",2018-02-01,115.26,113.85,111.89,2018-01-01
"G","12",2018-02-01,84.49,88.98,81.56,2018-01-01
"H","12",2018-02-01,75.58,68.33,66.93,2018-01-01
"J","12",2018-02-01,143.09,142.54,144.95,2018-01-01
"A","13",2018-02-01,45.28,53.63,53.54,2018-01-01
"B","13",2018-02-01,74.71,80.75,78.44,2018-01-01
"C","13",2018-02-01,59.98,58.25,NA,2018-01-01
"D","13",2018-02-01,52.84,59.09,44.19,2018-01-01
"E","13",2018-02-01,88.67,86.45,85.92,2018-01-01
"F","13",2018-02-01,72.8,74.97,68.71,2018-01-01
"G","13",2018-02-01,72.2,69.94,76.29,2018-01-01
"H","13",2018-02-01,88.41,91.31,88.63,2018-01-01
"J","13",2018-02-01,92.12,89.52,89.1,2018-01-01
"A","24",2018-02-01,51.7,47.28,56.69,2018-01-01
"B","24",2018-02-01,54.77,47.45,53.92,2018-01-01
"C","24",2018-02-01,61.3,64.12,54.3,2018-01-01
"D","24",2018-02-01,85.57,88.36,79.66,2018-01-01
"E","24",2018-02-01,72.51,65.87,80.37,2018-01-01
"F","24",2018-02-01,62.14,66.56,58.53,2018-01-01
"G","24",2018-02-01,74.58,73.14,83.29,2018-01-01
"H","24",2018-02-01,85.65,80.51,78.2,2018-01-01
"J","24",2018-02-01,84.48,90.77,78.67,2018-01-01
"A","35",2018-02-01,34.54,33.77,38.34,2018-01-01
"B","35",2018-02-01,59.77,62.7,52.74,2018-01-01
"C","35",2018-02-01,58.56,58.44,52.22,2018-01-01
"D","35",2018-02-01,62.89,58.14,60.58,2018-01-01
"E","35",2018-02-01,67.71,63.24,75.93,2018-01-01
"F","35",2018-02-01,65.22,73.63,59,2018-01-01
"G","35",2018-02-01,81.62,84.49,84.24,2018-01-01
"H","35",2018-02-01,84.34,92.6,81.05,2018-01-01
"J","35",2018-02-01,121.17,124.29,114.06,2018-01-01
"A","46",2018-02-01,47.85,41.31,54.13,2018-01-01
"B","46",2018-02-01,64.8,67.12,65.69,2018-01-01
"C","46",2018-02-01,51.69,47.61,56.41,2018-01-01
"D","46",2018-02-01,56.72,64.62,64.31,2018-01-01
"E","46",2018-02-01,75.3,77.97,74.2,2018-01-01
"F","46",2018-02-01,89.64,82.79,88.49,2018-01-01
"G","46",2018-02-01,89.19,95.96,96.56,2018-01-01
"H","46",2018-02-01,76.91,77.68,81.96,2018-01-01
"J","46",2018-02-01,95.94,98.64,100.58,2018-01-01
"A","47",2018-02-01,53.23,53.02,57.91,2018-01-01
"B","47",2018-02-01,47.42,50.92,47.19,2018-01-01
"C","47",2018-02-01,77.74,82.27,70.49,2018-01-01
"D","47",2018-02-01,63.97,63.73,70.76,2018-01-01
