"product","province","period","price","year"
"K",48,"2018-06-04",109.09,"2018-01-01"
"K",11,"2018-01-07",33.37,"2018-01-01"
"K",11,"2018-11-06",29.76,"2018-01-01"
"K",48,"2018-12-26",99.13,"2018-01-01"
"K",47,"2018-12-07",66.5,"2018-01-01"
"K",12,"2018-02-24",31.81,"2018-01-01"
"K",46,"2018-11-05",96,"2018-01-01"
"K",12,"2018-06-11",32.42,"2018-01-01"
"K",47,"2018-12-08",70.68,"2018-01-01"
"K",24,"2018-11-06",63.58,"2018-01-01"
"K",10,"2018-03-23",37.5,"2018-01-01"
"K",59,"2018-02-20",103.39,"2018-01-01"
"K",47,"2018-01-02",67.85,"2018-01-01"
"K",12,"2019-01-23",35.66,"2018-01-01"
"K",59,"2018-05-05",107.5,"2018-01-01"
"K",35,"2018-10-21",73.25,"2018-01-01"
"K",10,"2018-11-22",34.29,"2018-01-01"
"K",46,"2018-05-30",71.88,"2018-01-01"
"K",11,"2018-02-22",32.46,"2018-01-01"
"K",12,"2018-02-11",32.49,"2018-01-01"
"K",24,"2018-05-28",62.78,"2018-01-01"
"K",11,"2018-12-29",29.38,"2018-01-01"
"K",11,"2018-03-08",30.19,"2018-01-01"
"K",46,"2018-08-26",69.57,"2018-01-01"
"K",11,"2018-05-28",28.71,"2018-01-01"
"K",13,"2018-07-18",41.53,"2018-01-01"
"K",46,"2018-06-04",99.61,"2018-01-01"
"K",11,"2018-06-23",34.76,"2018-01-01"
"K",48,"2018-09-24",89.57,"2018-01-01"
"K",47,"2018-04-18",67.45,"2018-01-01"
"K",24,"2018-04-28",57.9,"2018-01-01"
"K",12,"2018-03-31",36.25,"2018-01-01"
"K",48,"2018-09-25",96.94,"2018-01-01"
"K",47,"2018-08-10",86.16,"2018-01-01"
"K",10,"2018-05-30",35.63,"2018-01-01"
"K",47,"2018-08-06",80.03,"2018-01-01"
"K",48,"2019-01-02",93.84,"2018-01-01"
"K",11,"2018-02-14",35.67,"2018-01-01"
"K",35,"2018-12-20",71.5,"2018-01-01"
"K",24,"2018-10-25",54.38,"2018-01-01"
"K",59,"2018-06-05",93.42,"2018-01-01"
"K",24,"2018-02-18",59.46,"2018-01-01"
"K",13,"2018-01-19",34.13,"2018-01-01"
"K",46,"2018-02-07",70.12,"2018-01-01"
"K",10,"2018-10-24",37.65,"2018-01-01"
"K",12,"2018-09-12",30.61,"2018-01-01"
"K",13,"2018-05-30",42.14,"2018-01-01"
"K",10,"2018-11-22",30.29,"2018-01-01"
"K",48,"2018-10-26",100.62,"2018-01-01"
"K",48,"2018-10-31",67.48,"2018-01-01"
"K",47,"2018-06-28",86.85,"2018-01-01"
"K",46,"2018-08-30",82.87,"2018-01-01"
"K",11,"2019-01-18",29.4,"2018-01-01"
"K",46,"2018-06-22",84.52,"2018-01-01"
"K",35,"2018-04-13",56.7,"2018-01-01"
"K",10,"2018-03-02",31.98,"2018-01-01"
"K",35,"2018-06-04",55.62,"2018-01-01"
"K",10,"2018-03-11",34.53,"2018-01-01"
"K",59,"2018-06-22",78.75,"2018-01-01"
"K",11,"2018-05-28",30.71,"2018-01-01"
"K",24,"2019-01-16",58.69,"2018-01-01"
"K",35,"2018-02-05",60.53,"2018-01-01"
"K",10,"2018-09-03",36.84,"2018-01-01"
"K",59,"2018-06-20",135.08,"2018-01-01"
"K",46,"2018-11-03",84.74,"2018-01-01"
"K",13,"2019-01-20",38.5,"2018-01-01"
"K",59,"2018-10-06",114.72,"2018-01-01"
"K",35,"2018-02-25",67.71,"2018-01-01"
"K",46,"2018-12-29",80.11,"2018-01-01"
"K",48,"2018-09-11",107.98,"2018-01-01"
"K",13,"2018-10-18",31.4,"2018-01-01"
"K",35,"2018-07-16",57.15,"2018-01-01"
"K",11,"2018-07-02",37.84,"2018-01-01"
"K",48,"2018-01-08",67.39,"2018-01-01"
"K",35,"2018-03-29",64.4,"2018-01-01"
"K",59,"2019-01-13",109.36,"2018-01-01"
"K",11,"2018-04-15",38.13,"2018-01-01"
"K",24,"2019-01-15",53.8,"2018-01-01"
"K",12,"2018-01-19",30.27,"2018-01-01"
"K",46,"2018-01-23",94.7,"2018-01-01"
"K",46,"2018-12-24",89.31,"2018-01-01"
"K",35,"2018-11-20",68.81,"2018-01-01"
"K",10,"2018-06-14",29.99,"2018-01-01"
"K",46,"2018-06-27",70.83,"2018-01-01"
"K",13,"2018-02-01",40.9,"2018-01-01"
"K",48,"2018-04-13",112.2,"2018-01-01"
"K",46,"2018-12-22",105.67,"2018-01-01"
"K",59,"2018-02-11",114.59,"2018-01-01"
"K",11,"2018-09-18",34.64,"2018-01-01"
"K",11,"2018-07-05",31.84,"2018-01-01"
"K",59,"2018-05-07",133.34,"2018-01-01"
"K",11,"2018-12-16",38.59,"2018-01-01"
"K",24,"2018-03-16",63.72,"2018-01-01"
"K",35,"2018-04-26",57.64,"2018-01-01"
"K",24,"2018-08-23",65.33,"2018-01-01"
"K",12,"2018-05-22",30.49,"2018-01-01"
"K",13,"2018-09-17",33.95,"2018-01-01"
"K",46,"2018-03-18",65.19,"2018-01-01"
"K",13,"2018-05-17",31.25,"2018-01-01"
"K",47,"2018-03-02",105.2,"2018-01-01"
"K",48,"2018-06-10",105.93,"2018-01-01"
"K",46,"2018-10-09",88.15,"2018-01-01"
"K",46,"2018-10-03",84.63,"2018-01-01"
"K",13,"2018-10-05",34.12,"2018-01-01"
"K",48,"2018-09-29",109.64,"2018-01-01"
"K",59,"2018-03-17",97.95,"2018-01-01"
"K",48,"2018-03-20",76.04,"2018-01-01"
"K",13,"2018-07-01",34.42,"2018-01-01"
"K",24,"2018-03-03",49.36,"2018-01-01"
"K",10,"2018-11-19",29.01,"2018-01-01"
"K",10,"2018-07-31",36.78,"2018-01-01"
"K",46,"2018-05-03",83.86,"2018-01-01"
"K",24,"2019-01-22",43.93,"2018-01-01"
"K",10,"2018-12-28",37.13,"2018-01-01"
"K",47,"2018-08-01",97.29,"2018-01-01"
"K",11,"2018-10-17",29.2,"2018-01-01"
"K",59,"2018-04-18",116.41,"2018-01-01"
"K",59,"2018-08-20",87.66,"2018-01-01"
"K",47,"2018-05-30",75.37,"2018-01-01"
"K",12,"2018-11-12",31.33,"2018-01-01"
"K",11,"2018-07-11",34.51,"2018-01-01"
"K",12,"2018-09-05",31.57,"2018-01-01"
"K",10,"2018-03-10",37.49,"2018-01-01"
"K",11,"2018-03-09",30.09,"2018-01-01"
"K",10,"2018-02-23",28.3,"2018-01-01"
"K",12,"2018-12-15",35.62,"2018-01-01"
"K",24,"2018-09-10",54.33,"2018-01-01"
"K",10,"2018-02-07",34,"2018-01-01"
"K",47,"2018-11-21",81.44,"2018-01-01"
"K",24,"2018-08-15",47.61,"2018-01-01"
"K",24,"2018-05-12",42.73,"2018-01-01"
"K",48,"2018-08-19",71.82,"2018-01-01"
"K",59,"2018-03-25",125.61,"2018-01-01"
"K",47,"2018-01-13",84.64,"2018-01-01"
"K",47,"2018-08-30",101.47,"2018-01-01"
"K",46,"2018-11-18",89.15,"2018-01-01"
"K",12,"2018-02-28",39.94,"2018-01-01"
"K",46,"2018-10-27",97.45,"2018-01-01"
"K",13,"2018-02-07",37.61,"2018-01-01"
"K",11,"2018-07-05",36.17,"2018-01-01"
"K",48,"2018-05-11",92.19,"2018-01-01"
"K",11,"2018-07-21",33.74,"2018-01-01"
"K",12,"2018-05-13",39.2,"2018-01-01"
"K",24,"2018-05-09",64.95,"2018-01-01"
"K",46,"2018-11-10",105.62,"2018-01-01"
"K",13,"2018-10-07",38.38,"2018-01-01"
"K",48,"2018-10-17",101.57,"2018-01-01"
"K",35,"2018-09-05",62.41,"2018-01-01"
"K",35,"2018-07-05",77.54,"2018-01-01"
"K",46,"2018-12-09",64.94,"2018-01-01"
"K",13,"2018-04-11",32.48,"2018-01-01"
"K",13,"2018-09-19",34.99,"2018-01-01"
"K",10,"2018-07-21",28.45,"2018-01-01"
"K",47,"2018-03-06",67.83,"2018-01-01"
"K",12,"2018-04-16",40.22,"2018-01-01"
"K",35,"2018-07-23",78.91,"2018-01-01"
"K",48,"2018-08-14",67.41,"2018-01-01"
"K",35,"2018-04-11",56.39,"2018-01-01"
"K",35,"2018-12-12",56.55,"2018-01-01"
"K",13,"2019-01-15",36.31,"2018-01-01"
"K",48,"2018-10-28",67.95,"2018-01-01"
"K",46,"2019-01-12",102.48,"2018-01-01"
"K",13,"2018-10-04",37.69,"2018-01-01"
"K",35,"2018-04-27",61.57,"2018-01-01"
"K",48,"2018-04-22",87.96,"2018-01-01"
"K",48,"2018-03-17",93.03,"2018-01-01"
"K",47,"2019-01-06",78.31,"2018-01-01"
"K",35,"2018-09-01",64.11,"2018-01-01"
"K",35,"2018-08-08",56.82,"2018-01-01"
"K",59,"2018-04-09",102.55,"2018-01-01"
"K",24,"2018-12-06",43.88,"2018-01-01"
"K",59,"2019-01-25",131.43,"2018-01-01"
"K",11,"2018-03-15",28.98,"2018-01-01"
"K",24,"2018-11-08",46.27,"2018-01-01"
"K",10,"2018-09-07",34.77,"2018-01-01"
"K",59,"2019-01-26",131.99,"2018-01-01"
"K",48,"2018-03-29",76.54,"2018-01-01"
"K",11,"2018-09-16",30.15,"2018-01-01"
"K",48,"2018-07-14",109.22,"2018-01-01"
"K",24,"2019-01-20",54.56,"2018-01-01"
"K",10,"2019-01-09",35.69,"2018-01-01"
"K",47,"2018-05-17",86.03,"2018-01-01"
"K",47,"2018-07-07",87.2,"2018-01-01"
"K",46,"2018-07-11",87.77,"2018-01-01"
"K",13,"2018-02-19",38.16,"2018-01-01"
"K",47,"2018-12-11",85.18,"2018-01-01"
"K",12,"2018-11-09",34.07,"2018-01-01"
"K",10,"2018-07-20",36.52,"2018-01-01"
"K",59,"2018-08-18",85.26,"2018-01-01"
"K",46,"2018-03-05",69.39,"2018-01-01"
"K",59,"2018-11-05",77,"2018-01-01"
"K",11,"2018-03-22",33.87,"2018-01-01"
"K",47,"2018-01-27",84.66,"2018-01-01"
"K",13,"2018-08-06",35.13,"2018-01-01"
"K",12,"2018-09-06",35.72,"2018-01-01"
"K",10,"2018-11-21",35.17,"2018-01-01"
"K",35,"2018-08-14",54.85,"2018-01-01"
"K",59,"2018-11-03",108.8,"2018-01-01"
"K",11,"2018-08-06",34.31,"2018-01-01"
"K",46,"2018-02-13",89,"2018-01-01"
"K",48,"2018-08-11",96.89,"2018-01-01"
"K",47,"2018-07-26",73.2,"2018-01-01"
"K",59,"2018-10-29",123.74,"2018-01-01"
"K",46,"2019-01-16",83.1,"2018-01-01"
"K",46,"2018-02-07",76.62,"2018-01-01"
"K",59,"2018-04-18",133.32,"2018-01-01"
"K",47,"2018-01-06",97.87,"2018-01-01"
"K",24,"2018-08-11",62.93,"2018-01-01"
"K",46,"2018-04-22",71.63,"2018-01-01"
"K",46,"2018-04-05",106,"2018-01-01"
"K",24,"2018-02-28",49.34,"2018-01-01"
"K",47,"2018-05-04",68.06,"2018-01-01"
"K",13,"2018-12-21",34.05,"2018-01-01"
"K",10,"2018-03-08",35.08,"2018-01-01"
"K",24,"2018-04-30",44.17,"2018-01-01"
"K",12,"2018-06-18",34.68,"2018-01-01"
"K",59,"2018-06-07",127.66,"2018-01-01"
"K",47,"2018-03-04",104,"2018-01-01"
"K",24,"2018-02-01",54.26,"2018-01-01"
"K",48,"2018-12-14",87.61,"2018-01-01"
"K",35,"2018-11-07",61.76,"2018-01-01"
"K",13,"2018-05-26",35.38,"2018-01-01"
"K",59,"2019-01-09",102.83,"2018-01-01"
"K",59,"2018-02-10",81.51,"2018-01-01"
"K",12,"2018-01-08",37.85,"2018-01-01"
"K",47,"2019-01-29",73.61,"2018-01-01"
"K",46,"2018-05-09",95.82,"2018-01-01"
"K",46,"2018-08-20",74.22,"2018-01-01"
"K",35,"2018-08-29",57.1,"2018-01-01"
"K",35,"2018-01-10",57.77,"2018-01-01"
"K",59,"2018-01-16",122.46,"2018-01-01"
"K",35,"2018-08-13",57.49,"2018-01-01"
"K",11,"2019-01-24",33.92,"2018-01-01"
"K",24,"2018-01-16",53.03,"2018-01-01"
"K",12,"2018-03-22",37.32,"2018-01-01"
"K",12,"2018-08-23",34.95,"2018-01-01"
"K",59,"2018-06-26",87.23,"2018-01-01"
"K",12,"2018-10-03",31.32,"2018-01-01"
"K",13,"2018-10-10",30.85,"2018-01-01"
"K",48,"2018-10-03",105.67,"2018-01-01"
"K",59,"2018-12-12",105.1,"2018-01-01"
"K",13,"2018-11-04",36.4,"2018-01-01"
"K",59,"2018-08-30",122.84,"2018-01-01"
"K",11,"2019-01-20",32.62,"2018-01-01"
"K",48,"2018-10-23",89.6,"2018-01-01"
"K",11,"2018-06-28",29.37,"2018-01-01"
"K",35,"2018-10-30",70.52,"2018-01-01"
"K",35,"2018-11-18",60.86,"2018-01-01"
"K",48,"2018-11-09",73.27,"2018-01-01"
"K",11,"2018-08-04",39.42,"2018-01-01"
"K",35,"2019-01-30",75.49,"2018-01-01"
"K",48,"2018-04-17",90.74,"2018-01-01"
"K",47,"2018-03-16",77.94,"2018-01-01"
"K",12,"2018-08-09",38.69,"2018-01-01"
"K",24,"2018-06-15",58.72,"2018-01-01"
"K",35,"2018-09-14",53.61,"2018-01-01"
"K",12,"2018-06-27",40.76,"2018-01-01"
"K",11,"2018-07-29",32.29,"2018-01-01"
"K",24,"2018-03-30",65.18,"2018-01-01"
"K",12,"2018-10-08",30.68,"2018-01-01"
"K",11,"2018-10-26",38.52,"2018-01-01"
"K",11,"2019-01-10",31.58,"2018-01-01"
"K",10,"2018-02-11",35.05,"2018-01-01"
"K",59,"2018-10-11",127.78,"2018-01-01"
"K",13,"2018-10-28",41.73,"2018-01-01"
"K",11,"2018-11-19",33.83,"2018-01-01"
"K",12,"2018-09-21",40.76,"2018-01-01"
"K",35,"2018-07-27",65.4,"2018-01-01"
"K",24,"2018-11-06",55.55,"2018-01-01"
"K",11,"2018-06-05",31.83,"2018-01-01"
"K",11,"2018-04-01",32.18,"2018-01-01"
"K",13,"2018-02-16",36.29,"2018-01-01"
"K",12,"2018-01-03",30.53,"2018-01-01"
"K",59,"2018-01-18",78.6,"2018-01-01"
"K",47,"2018-03-07",108.47,"2018-01-01"
"K",46,"2018-12-18",105.55,"2018-01-01"
"K",24,"2018-07-01",45.29,"2018-01-01"
"K",13,"2018-07-28",32.5,"2018-01-01"
"K",59,"2018-12-13",87.97,"2018-01-01"
"K",11,"2018-06-30",33.71,"2018-01-01"
"K",12,"2018-11-01",30.69,"2018-01-01"
"K",12,"2018-10-20",35.56,"2018-01-01"
"K",35,"2018-02-15",75.07,"2018-01-01"
"K",48,"2018-03-24",74.17,"2018-01-01"
"K",35,"2018-07-28",83.51,"2018-01-01"
"K",10,"2018-06-09",28.14,"2018-01-01"
"K",10,"2018-11-10",36.15,"2018-01-01"
"K",10,"2018-10-22",32.61,"2018-01-01"
"K",10,"2018-12-20",31.25,"2018-01-01"
"K",59,"2018-09-09",119.9,"2018-01-01"
"K",48,"2018-11-04",91.84,"2018-01-01"
"K",35,"2018-01-16",70.24,"2018-01-01"
"K",46,"2019-01-16",89.33,"2018-01-01"
