"","ea","period","price1","price2","price3","basket"
"1","10A","201801",57.76,58.79,58.07,"2018"
"2","10B","201801",58.03,57.66,60.89,"2018"
"3","10C","201801",70.41,72.08,70.41,"2018"
"4","10D","201801",63.01,60.39,62.13,"2018"
"5","10E","201801",95.05,89.69,91.42,"2018"
"6","10F","201801",70.64,71.63,72.84,"2018"
"7","10G","201801",118.27,123.58,119.77,"2018"
"8","10H","201801",92.01,90.15,90,"2018"
"9","10J","201801",86.82,83.01,84.04,"2018"
"10","11A","201801",67.74,66.72,67.83,"2018"
"11","11B","201801",47.2,49.36,46.88,"2018"
"12","11C","201801",70.87,74.95,74.88,"2018"
"13","11D","201801",56.62,56.94,51.92,"2018"
"14","11E","201801",123.09,115.26,116.42,"2018"
"15","11F","201801",127.84,121.43,127.03,"2018"
"16","11G","201801",84.31,90.9,98.68,"2018"
"17","11H","201801",81.58,86.53,82.01,"2018"
"18","11J","201801",107.34,107.58,109.3,"2018"
"19","12A","201801",50.15,50.18,50.48,"2018"
"20","12B","201801",59.81,58.85,59.04,"2018"
"21","12C","201801",53.95,51.77,48.23,"2018"
"22","12D","201801",58.13,62.36,57.51,"2018"
"23","12E","201801",57.79,58.9,55.81,"2018"
"24","12F","201801",120.49,120.67,117.64,"2018"
"25","12G","201801",95.56,92.18,96.68,"2018"
"26","12H","201801",74.86,74.87,72.38,"2018"
"27","12J","201801",125.94,128.48,130,"2018"
"28","13A","201801",45.51,46.03,47.08,"2018"
"29","13B","201801",62.33,61.8,60.55,"2018"
"30","13C","201801",62.92,59.57,64.7,"2018"
"31","13D","201801",63.96,68.64,68.56,"2018"
"32","13E","201801",120.81,117.7,117.85,"2018"
"33","13F","201801",91.64,85.95,90.29,"2018"
"34","13G","201801",69.56,72.5,73.41,"2018"
"35","13H","201801",116.92,119.01,114.69,"2018"
"36","13J","201801",91.51,94.44,94.39,"2018"
"37","24A","201801",70.1,67.29,68.3,"2018"
"38","24B","201801",59.45,63.06,66.04,"2018"
"39","24C","201801",68.44,68.8,69.86,"2018"
"40","24D","201801",80.93,74.44,80.54,"2018"
"41","24E","201801",91.59,95.27,84.71,"2018"
"42","24F","201801",74.22,89.19,80.47,"2018"
"43","24G","201801",68.84,71.13,77.22,"2018"
"44","24H","201801",131.35,127.92,123.03,"2018"
"45","24J","201801",82.71,83.52,95.06,"2018"
"46","35A","201801",35.01,43.51,48.29,"2018"
"47","35B","201801",82.65,84.81,84.14,"2018"
"48","35C","201801",69,60.41,63.33,"2018"
"49","35D","201801",60.39,55.97,61.88,"2018"
"50","35E","201801",71.01,73.55,67.72,"2018"
"51","35F","201801",68.45,51.24,55.83,"2018"
"52","35G","201801",66.73,71.09,73.25,"2018"
"53","35H","201801",92.38,94.13,97.53,"2018"
"54","35J","201801",128.94,131.55,130.29,"2018"
"55","46A","201801",31.51,36.91,37.14,"2018"
"56","46B","201801",47.82,55.53,54.31,"2018"
"57","46C","201801",35.91,31.73,33.1,"2018"
"58","46D","201801",41.11,40.78,40.7,"2018"
"59","46E","201801",83.47,75.35,76.56,"2018"
"60","46F","201801",74.8,67.83,72.12,"2018"
"61","46G","201801",69.52,69.72,73.29,"2018"
"62","46H","201801",58.65,57.01,49.47,"2018"
"63","46J","201801",65.49,71.48,83.29,"2018"
"64","47A","201801",43.59,42.78,38.66,"2018"
"65","47B","201801",32.37,38.09,33.3,"2018"
"66","47C","201801",55.41,54.1,59.6,"2018"
"67","47D","201801",54.72,65.54,65.3,"2018"
"68","47E","201801",64.66,61.29,62.48,"2018"
"69","47F","201801",56.81,51.7,56.89,"2018"
"70","47G","201801",37.42,36.83,35.68,"2018"
"71","47H","201801",55.46,68.72,69.03,"2018"
"72","47J","201801",80.2,84.58,71.67,"2018"
"73","48A","201801",56.7,62.34,62.38,"2018"
"74","48B","201801",91.85,83.28,92.83,"2018"
"75","48C","201801",98.33,103.42,99.47,"2018"
"76","48D","201801",49.45,49.99,51.69,"2018"
"77","48E","201801",93.73,97.93,90.26,"2018"
"78","48F","201801",91.49,81.95,84.09,"2018"
"79","48G","201801",85.72,83.73,93.3,"2018"
"80","48H","201801",118.63,115.92,117.91,"2018"
"81","48J","201801",174.2,158.27,146.03,"2018"
"82","59A","201801",49.64,48.85,44.33,"2018"
"83","59B","201801",44.76,44.24,NA,"2018"
"84","59C","201801",60.32,56.82,55.83,"2018"
"85","59D","201801",107.62,94.69,104.08,"2018"
"86","59E","201801",95.2,94.32,99.5,"2018"
"87","59F","201801",80.78,78.6,90.67,"2018"
"88","59G","201801",85.78,86.88,82.76,"2018"
"89","59H","201801",82.6,89.33,76.96,"2018"
"90","59J","201801",99.35,101.65,85.06,"2018"
"91","10A","201802",59.6,60.6,59.55,"2018"
"92","10B","201802",60.76,56.15,59.98,"2018"
"93","10C","201802",83.01,81.73,85.96,"2018"
"94","10D","201802",68.28,65.09,70.99,"2018"
"95","10E","201802",97.92,89.92,92.09,"2018"
"96","10F","201802",66.78,69.08,76.41,"2018"
"97","10G","201802",126.3,125.81,134.72,"2018"
"98","10H","201802",101.37,99.98,103.92,"2018"
"99","10J","201802",87.66,86.36,89.97,"2018"
"100","11A","201802",71.22,73.13,69.3,"2018"
"101","11B","201802",53.77,52.34,50.77,"2018"
"102","11C","201802",75.93,77.14,75.96,"2018"
"103","11D","201802",61,61.44,63.29,"2018"
"104","11E","201802",117.16,121.08,120.63,"2018"
"105","11F","201802",121.24,125,123.43,"2018"
"106","11G","201802",93.4,99.92,96.7,"2018"
"107","11H","201802",80.2,81.28,80.4,"2018"
"108","11J","201802",118.02,120.33,116.94,"2018"
"109","12A","201802",50.15,51.32,48.61,"2018"
"110","12B","201802",66.05,68.71,65.9,"2018"
"111","12C","201802",45.64,49.18,44.75,"2018"
"112","12D","201802",53.93,54.95,56.06,"2018"
"113","12E","201802",58.11,62.02,59.41,"2018"
"114","12F","201802",126.97,123.98,123.22,"2018"
"115","12G","201802",101.5,96.46,98.68,"2018"
"116","12H","201802",70.86,71.29,74.47,"2018"
"117","12J","201802",126.26,130.35,132.35,"2018"
"118","13A","201802",39.77,38.84,38.08,"2018"
"119","13B","201802",61.57,59.92,62.15,"2018"
"120","13C","201802",63.28,64.67,63.98,"2018"
"121","13D","201802",66.03,63.79,66.07,"2018"
"122","13E","201802",112.69,115.16,119.11,"2018"
"123","13F","201802",83.51,88.43,82.75,"2018"
"124","13G","201802",70.49,73.43,72.34,"2018"
"125","13H","201802",114.69,118.98,121.6,"2018"
"126","13J","201802",84.09,84.62,85.97,"2018"
"127","24A","201802",56.57,51.22,51.79,"2018"
"128","24B","201802",47.99,47.91,47.87,"2018"
"129","24C","201802",56.41,53,49.4,"2018"
"130","24D","201802",56.08,57.98,55.35,"2018"
"131","24E","201802",69.72,60.98,66.46,"2018"
"132","24F","201802",56.03,59.27,57.12,"2018"
"133","24G","201802",59.7,61.03,57.71,"2018"
"134","24H","201802",86.22,83.46,88.63,"2018"
"135","24J","201802",64.23,59.71,61.87,"2018"
"136","35A","201802",42.02,38.66,44.22,"2018"
"137","35B","201802",86.37,82.31,83.63,"2018"
"138","35C","201802",64.69,60.06,61.16,"2018"
"139","35D","201802",61.62,53.82,66.68,"2018"
"140","35E","201802",71.46,75.64,69.17,"2018"
"141","35F","201802",59.55,54.1,62.34,"2018"
"142","35G","201802",77.42,79.98,75.33,"2018"
"143","35H","201802",94.94,95.26,81.55,"2018"
"144","35J","201802",136.95,121.46,122.65,"2018"
"145","46A","201802",34.88,37.65,44.58,"2018"
"146","46B","201802",62.3,60.77,56.71,"2018"
"147","46C","201802",39.55,33.52,35,"2018"
"148","46D","201802",42.86,41.6,43.88,"2018"
"149","46E","201802",76.84,75.86,89.12,"2018"
"150","46F","201802",80.44,81.99,87.44,"2018"
"151","46G","201802",83.07,88.88,83.24,"2018"
"152","46H","201802",59.16,66.68,62.1,"2018"
"153","46J","201802",78.71,77.61,77.19,"2018"
"154","47A","201802",41.23,47.86,47.15,"2018"
"155","47B","201802",43.1,42.25,49.79,"2018"
"156","47C","201802",66.31,69.87,71.61,"2018"
"157","47D","201802",55.35,65.94,67.82,"2018"
"158","47E","201802",83.71,70.73,70.8,"2018"
"159","47F","201802",53.65,61.97,60.97,"2018"
"160","47G","201802",48.37,41.61,41.99,"2018"
"161","47H","201802",72.54,73.67,72.3,"2018"
"162","47J","201802",84.13,85.1,106.52,"2018"
"163","48A","201802",48.83,44.63,47.19,"2018"
"164","48B","201802",68.72,79.06,85.59,"2018"
"165","48C","201802",91.23,85.46,87.93,"2018"
"166","48D","201802",40.1,36.06,39.92,"2018"
"167","48E","201802",68.8,79.56,78.32,"2018"
"168","48F","201802",73.87,60.53,62.23,"2018"
"169","48G","201802",79.11,79.6,68.65,"2018"
"170","48H","201802",91.96,102.3,98.14,"2018"
"171","48J","201802",142.99,126.32,120.48,"2018"
"172","59A","201802",45.35,50.09,40.71,"2018"
"173","59B","201802",39.33,41.25,NA,"2018"
"174","59C","201802",59.41,56.95,55.64,"2018"
"175","59D","201802",99.73,106.14,98.75,"2018"
"176","59E","201802",79.55,90.45,89.37,"2018"
"177","59F","201802",70.73,68.06,64.26,"2018"
"178","59G","201802",70.5,69.59,71.68,"2018"
"179","59H","201802",85.24,75.8,75.33,"2018"
"180","59J","201802",86.67,77.72,83.35,"2018"
"181","10A","201803",59.76,59.97,57.54,"2018"
"182","10B","201803",67.21,62.89,63.93,"2018"
"183","10C","201803",84.6,81.8,79.07,"2018"
"184","10D","201803",69.59,69.73,70.76,"2018"
"185","10E","201803",85.57,89.98,93.11,"2018"
"186","10F","201803",76.76,76.48,75.06,"2018"
